法人名称,法人番号,法人種別,登記閉鎖等,法人サマリー,本社所在地(WEBサイト掲載),郵便番号(WEBサイト掲載),都道府県(WEBサイト掲載),市区町村(WEBサイト掲載),番地(WEBサイト掲載),本社所在地(登記情報),郵便番号(登記情報),都道府県(登記情報),市区町村(登記情報),番地(登記情報),サイトURL,メールアドレス,電話番号,FAX番号,業種,業種(大分類1),業種(中分類1),業種(大分類2),業種(中分類2),業種(大分類3),業種(中分類3),上場区分,法人グレード,設立年月日,資本金(円),従業員数(人),代表者名,役員,売上高(円),利益(円),決算月,国内拠点数,国内拠点名,海外拠点数,海外拠点名,関連企業数,掲載取引先数,利用サービス,Facebook,X(旧Twitter),Instagram,YouTube,LINE,アクティビティ,運営サイト数,アップロードリストとの重複
株式会社ＲＯＣ,'5140001100929,株式会社,,株式会社ＲＯＣは、ＳＮＳソリューション事業とＳａａＳ事業を展開する会社であり、セミナーやイベントも主催している。,兵庫県神戸市中央区山本通2-1-22北野坂中央ビル4F,650-0003,兵庫県,神戸市中央区,山本通2-1-22北野坂中央ビル4F,兵庫県神戸市中央区山本通２丁目１番２２号北野坂中央ビル４階,6500003,兵庫県,神戸市中央区,山本通２丁目１番２２号北野坂中央ビル４階,https://www.rocinc.co.jp/,info@rocinc.co.jp,078-381-7841,078-381-7842,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,,,非上場,中小企業,2016/2/2,,20以上～30未満,坂本 翔（代表取締役）,坂本 翔（代表取締役）/岡本 翔太郎（取締役）/清水 亘（取締役）/前田 有通（取締役）/村上 靖（取締役）/田沼 義和（監査役）,5億以上～10億未満,,,3,東京都/大阪府,,,4,1,Yahoo! タグマネージャー/Bootstrap/Google マップ/Google Hosted Libraries/Googleタグマネージャー/jQuery CDN,◯,◯,◯,-,◯,,,N/A
株式会社ＭＵＧＥＮＵＰ,'1011101062480,株式会社,,株式会社ＭＵＧＥＮＵＰは、デジタルキャラクターの制作やコンテンツ開発、ＳａａＳなど多岐にわたるサービスを提供し、クリエイターとテクノロジーを結びつけることで「創る」を支援する法人です。,東京都新宿区下宮比町2-26KDX飯田橋ビル5階5-2号室,162-0822,東京都,新宿区,下宮比町2-26KDX飯田橋ビル5階5-2号室,東京都新宿区下宮比町２番２６号,1620822,東京都,新宿区,下宮比町２番２６号,https://mugenup.com/,privacy@mugenup.com,03-6265-0808,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/広告業/広告業",情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,広告業,,,非上場,中堅,2011/6/14,,100以上～300未満,伊藤勝悟（代表取締役）,伊藤勝悟（代表取締役）/町澤俊介（取締役）/宮原さおり（取締役）/竹原元康（取締役）/平泉準（取締役）/芝川善行（取締役）/丹治太（取締役）,50億以上～100億未満,,,1,,,,,2,Googleタグマネージャー/Google マップ,-,-,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(2025/2026年)/案件情報掲載あり(2025/2026年),9,N/A
ｚｅｎｉｔｈ株式会社,'5011101113107,株式会社,,ｚｅｎｉｔｈ株式会社は、東京都新宿区に拠点を置くＡＩ ＳａａＳスタートアップで、確かな技術力を活かし、企業の成長や課題解決を支援する多様なＡＩプロダクトを提供しています。,,,,,,東京都新宿区神楽坂３丁目５神楽坂Ｋビル４Ｆ,162-0825,東京都,新宿区,神楽坂３丁目５神楽坂Ｋビル４Ｆ,https://zenith-ai.jp/,info@zenith-ai.jp,050-1792-1079,,"情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/その他の技術サービス業,学術研究，専門・技術サービス業/学術・開発研究機関/自然科学研究所",情報通信業,情報サービス業,学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,学術研究，専門・技術サービス業,学術・開発研究機関,非上場,不明,2025/9/4,,,,,,,,,,,,,,Google Cloud Storage/Gstatic/TypeSquare,-,-,-,-,-,,,N/A
株式会社ＩＴＣＪＡＰＡＮ,'2011101045229,株式会社,,株式会社ＩＴＣＪＡＰＡＮは、航空、旅行、鉄道、ホテルなどの業界向けに、オンラインシステムや業務システムなどのさまざまなソリューションを提供しているＩＴ法人です。,,,,,,東京都新宿区新宿１丁目１８番９号５階,1600022,東京都,新宿区,新宿１丁目１８番９号５階,https://www.itcjapan.com/,,03-5471-1700,03-5471-1818,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,1981/10/1,"22,000,000",,松田 健太郎（代表取締役社長）,松田 健太郎（代表取締役社長）/井上 清貴（専務取締役）/上原 剛介（取締役）,,,,1,,,,1,,Google マップ/Font Awesome,-,-,-,-,-,,1,N/A
株式会社ＩＴＣ ＪＡＰＡＮ,'3050001051992,株式会社,,株式会社ＩＴＣ ＪＡＰＡＮは、航空、鉄道、旅行、ＮＧＯ・ＮＰＯなどの業界に特化したＩＴソリューションを提供する法人です。,東京都品川区南大井6-12-10ITCビル,140-0013,東京都,品川区,南大井6-12-10ITCビル,茨城県東茨城郡茨城町大字長岡７５８番地２Ｆ,3113116,茨城県,東茨城郡茨城町,大字長岡７５８番地２Ｆ,https://www.itcjapan.com/,,03-5471-1700,03-5471-1818,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,,,,,非上場,中小企業,1981/10/1,"22,000,000",,松田 健太郎（代表取締役社長）,松田 健太郎（代表取締役社長）/井上 清貴（専務取締役）/上原 剛介（取締役）,,,,1,福岡県,,,1,,Google マップ/Font Awesome,-,-,-,-,-,,,N/A
アイティシージャパン株式会社,'6010701000309,株式会社,,アイティシージャパン株式会社は、航空、鉄道、旅行、ＮＧＯ・ＮＰＯなどの業界を中心に、ＩＴソリューションを提供しています。ビジネス＆テクノロジーサービス、自社製品サービス、ＢＰＯ事業など、幅広い領域で活動しています。,東京都品川区南大井6-12-10ITCビル,140-0013,東京都,品川区,南大井6-12-10ITCビル,東京都品川区南大井６丁目１２番１０号,1400013,東京都,品川区,南大井６丁目１２番１０号,https://www.itcjapan.com/,,03-5471-1700,03-5471-1818,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業,情報サービス業,,,,,非上場,中小企業,1981/10/1,"22,000,000",50以上～100未満,松田 健太郎（代表取締役社長）,松田 健太郎（代表取締役社長）/井上 清貴（専務取締役）/上原 剛介（取締役）,10億以上～20億未満,,,2,福岡県,,,1,,Font Awesome/Google マップ,-,-,-,-,-,中途採用掲載あり(先週)/案件情報掲載あり(2025/2026年),1,N/A
株式会社補助金ポータル,'2011001125394,株式会社,,株式会社補助金ポータルは、国と民間企業を繋ぐプラットフォームを提供し、補助金や助成金に関する情報を提供するポータルサイト事業、ＳａａＳ事業、及びコンサルティング事業を展開しています。,東京都渋谷区東3丁目15-7ヒューリック恵比寿ビル4F,150-0011,東京都,渋谷区,東3丁目15-7ヒューリック恵比寿ビル4F,東京都渋谷区東３丁目１５－７,1500011,東京都,渋谷区,東３丁目１５－７,https://hojyokin-portal.co.jp/,,03-6822-5976,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社",情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,2018/11/22,"29,000,000",20以上～30未満,福井 彰次（代表取締役）,福井 彰次（代表取締役）/平野 秀行（取締役）,5億以上～10億未満,,,1,,,,1,1,CloudFlare/Polyfill/Typekit/YubinBango/jQuery CDN,◯,◯,-,-,-,リリース情報掲載あり(2025/2026年)/中途採用掲載あり(2025/2026年),4,N/A
株式会社ＩｎｓｉｇｈｔＸ,'3010501047536,株式会社,,株式会社ＩｎｓｉｇｈｔＸは、顧客体験パーソナライゼーションＳａａＳ「ＩｎｓｉｇｈｔＸ」の提供を主な事業とする、顧客体験改善に特化した法人です。,東京都港区港南2-15-1,108-0075,東京都,港区,港南2-15-1,東京都港区港南２丁目１５－１品川インターシティＡ棟２２階ＳＰＲＯＵＮＤ内,108-0075,東京都,港区,港南２丁目１５－１品川インターシティＡ棟２２階ＳＰＲＯＵＮＤ内,https://insightx.tech/,,050-5470-6197,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,,,非上場,小規模企業,2021/7,"2,000,000",10以上～20未満,中沢弘樹（代表者）,YUKI SATAKE（取締役）/佐竹 佑基（取締役）,1億以上～5億未満,,,,,,,,,Googleタグマネージャー,-,-,-,-,-,,,N/A
ＬＹＫＥＩＯＮ株式会社,'5010001102806,株式会社,,ＬＹＫＥＩＯＮ株式会社は、ＡＩ利活用のためのＳａａＳプラットフォームを提供し、業務効率と競争力を高めるＩＴコンサルティング事業を展開する法人です。,東京都文京区本駒込6-5-3ビューネ本駒込3階,113-0021,東京都,文京区,本駒込6-5-3ビューネ本駒込3階,東京都文京区本駒込６丁目５番３号,1130021,東京都,文京区,本駒込６丁目５番３号,https://www.lykeion.ai/,,03-5970-7788,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,2006,"50,000,000",10以上～20未満,山中 正明（代表取締役社長）,山中 正明（代表取締役社長）,5億以上～10億未満,,6月,,,,,,10,Gravatar/Gstatic,-,-,-,-,-,,,N/A
株式会社ヒューアップテクノロジー,'6011101029839,株式会社,,株式会社ヒューアップテクノロジーは、人材ビジネス業界とＩＴ業界の融合を通じて、ＳａａＳやクラウドサービスを提供し、ＨＲ領域の業務効率化やデジタルトランスフォーメーションを支援する法人です。,東京都豊島区南池袋1-13-23JRE南池袋ビル4階,171-0022,東京都,豊島区,南池袋1-13-23JRE南池袋ビル4階,東京都豊島区南池袋１丁目１３番２３号,171-0022,東京都,豊島区,南池袋１丁目１３番２３号,https://www.huapp.co.jp/,,03-5244-9655,03-6812-1741,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,非上場,中小企業,2000/6/1,"45,500,000",20以上～30未満,篠川 貴洋（代表取締役社長）,篠川 貴洋（代表取締役社長）/吉田 一也（取締役会長）/齋藤 和也（取締役）/永井 大士（執行役員）/佐藤 仁（非常勤取締役）/新藤匡浩（監査役）,5億以上～10億未満,,,2,大阪府,1,中国,8,1,Google マップ/Googleタグマネージャー/Gstatic,-,-,-,-,-,中途採用掲載あり(2025/2026年),1,N/A
グリーライフスタイル株式会社,'4010401141594,株式会社,,グリーライフスタイル株式会社は、ソーシャルマーケティング支援事業を主軸に展開し、インフルエンサーマーケティング、ＳＮＳアカウント運用代行、マーケティングＳａａＳ「Ｓｏｃｉａｌ Ｐｉｔｔ」の３つのサービスを提供する法人です。,東京都港区六本木６丁目１１−１六本木ヒルズゲートタワー,106-0032,東京都,港区,六本木６丁目１１−１六本木ヒルズゲートタワー,東京都港区六本木６丁目１１番１号,1060032,東京都,港区,六本木６丁目１１番１号,https://gree-lifestyle.co.jp/,,03-5770-9384,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,2018/10/17,"100,000,000",30以上～50未満,山﨑 陽平（代表取締役社長）,山﨑 陽平（代表取締役社長）/足立 和久（取締役）,10億以上～20億未満,,,,,,,,4,Google Cloud Storage/Google マップ/Googleタグマネージャー,-,-,-,-,-,案件情報掲載あり(2025/2026年),2,N/A
株式会社Ｇｒｅｅｎｐｈａｒｄ Ｅｎｅｒｇｙ,'1010601059029,株式会社,,株式会社Ｇｒｅｅｎｐｈａｒｄ Ｅｎｅｒｇｙは、地球温暖化の解決に取り組むため、再生可能エネルギーの発電所の増加に伴う電力系統の安定化を目指すＩｎｔｅｌｌｉｇｅｎｔ ＩｏＴを使った電力需要機器の最適化制御による省エネルギー化とＤｅｍａｎｄ Ｒｅｓｐｏｎｓｅを提供している法人です。,東京都港区海岸1-4-22SEESAW8F-9F,,東京都,港区,海岸1-4-22SEESAW8F-9F,東京都墨田区立川１丁目１４番６号プランドール森下２０２,,東京都,墨田区,立川１丁目１４番６号プランドール森下２０２,https://greenphard.com/,info@greenphard.com,090-1822-1516,,分類不能の産業/分類不能の産業/分類不能の産業,分類不能の産業,分類不能の産業,,,,,非上場,小規模企業,2021/3,,5以上～10未満,,Nishiyama Takehito（CEO / Founder）,1億以上～5億未満,,,,,,,,,Wordpress,-,-,-,-,-,リリース情報掲載あり(1週間以内)/商標出願あり(2025/2026年),1,N/A
